season,date_game,visitor_team_name,home_team_name,visitor_pts,home_pts,visitor_margin,home_margin,visitor_win,home_win,is_tie,overtimes,grouped_date_id,unique_game_id,home_wl,visitor_wl,home_result,visitor_result,is_playoff_game_flag
1980,1979-10-09,St. Louis Blues,Vancouver Canucks,5,2,3,-3,1,0,0,,1,1,L,W,L 2-5 vs. St. Louis Blues,W 5-2 @ Vancouver Canucks,0
1980,1979-10-10,Edmonton Oilers,Chicago Blackhawks,2,4,-2,2,0,1,0,,2,2,W,L,W 4-2 vs. Edmonton Oilers,L 2-4 @ Chicago Blackhawks,0
1980,1979-10-10,Detroit Red Wings,Los Angeles Kings,4,4,0,0,0,0,1,,2,3,T,T,T 4-4 vs. Detroit Red Wings,T 4-4 @ Los Angeles Kings,0
1980,1979-10-10,Winnipeg Jets,Pittsburgh Penguins,2,4,-2,2,0,1,0,,2,4,W,L,W 4-2 vs. Winnipeg Jets,L 2-4 @ Pittsburgh Penguins,0
1980,1979-10-10,Atlanta Flames,Quebec Nordiques,5,3,2,-2,1,0,0,,2,5,L,W,L 3-5 vs. Atlanta Flames,W 5-3 @ Quebec Nordiques,0
1980,1979-10-10,New York Rangers,Toronto Maple Leafs,6,3,3,-3,1,0,0,,2,6,L,W,L 3-6 vs. New York Rangers,W 6-3 @ Toronto Maple Leafs,0
1980,1979-10-11,Winnipeg Jets,Boston Bruins,0,4,-4,4,0,1,0,,3,7,W,L,W 4-0 vs. Winnipeg Jets,L 0-4 @ Boston Bruins,0
1980,1979-10-11,Washington Capitals,Buffalo Sabres,3,6,-3,3,0,1,0,,3,8,W,L,W 6-3 vs. Washington Capitals,L 3-6 @ Buffalo Sabres,0
1980,1979-10-11,St. Louis Blues,Colorado Rockies,3,3,0,0,0,0,1,,3,9,T,T,T 3-3 vs. St. Louis Blues,T 3-3 @ Colorado Rockies,0
1980,1979-10-11,Hartford Whalers,Minnesota North Stars,1,4,-3,3,0,1,0,,3,10,W,L,W 4-1 vs. Hartford Whalers,L 1-4 @ Minnesota North Stars,0
1980,1979-10-11,Atlanta Flames,Montreal Canadiens,1,3,-2,2,0,1,0,,3,11,W,L,W 3-1 vs. Atlanta Flames,L 1-3 @ Montreal Canadiens,0
1980,1979-10-11,New York Islanders,Philadelphia Flyers,2,5,-3,3,0,1,0,,3,12,W,L,W 5-2 vs. New York Islanders,L 2-5 @ Philadelphia Flyers,0
1980,1979-10-12,Detroit Red Wings,Vancouver Canucks,1,3,-2,2,0,1,0,,4,13,W,L,W 3-1 vs. Detroit Red Wings,L 1-3 @ Vancouver Canucks,0
1980,1979-10-13,Philadelphia Flyers,Atlanta Flames,2,9,-7,7,0,1,0,,5,14,W,L,W 9-2 vs. Philadelphia Flyers,L 2-9 @ Atlanta Flames,0
1980,1979-10-13,Detroit Red Wings,Edmonton Oilers,3,3,0,0,0,0,1,,5,15,T,T,T 3-3 vs. Detroit Red Wings,T 3-3 @ Edmonton Oilers,0
1980,1979-10-13,St. Louis Blues,Los Angeles Kings,3,5,-2,2,0,1,0,,5,16,W,L,W 5-3 vs. St. Louis Blues,L 3-5 @ Los Angeles Kings,0
1980,1979-10-13,Chicago Blackhawks,Minnesota North Stars,1,5,-4,4,0,1,0,,5,17,W,L,W 5-1 vs. Chicago Blackhawks,L 1-5 @ Minnesota North Stars,0
1980,1979-10-13,Quebec Nordiques,Montreal Canadiens,1,3,-2,2,0,1,0,,5,18,W,L,W 3-1 vs. Quebec Nordiques,L 1-3 @ Montreal Canadiens,0
1980,1979-10-13,Buffalo Sabres,New York Islanders,5,2,3,-3,1,0,0,,5,19,L,W,L 2-5 vs. Buffalo Sabres,W 5-2 @ New York Islanders,0
1980,1979-10-13,Hartford Whalers,Pittsburgh Penguins,3,3,0,0,0,0,1,,5,20,T,T,T 3-3 vs. Hartford Whalers,T 3-3 @ Pittsburgh Penguins,0
1980,1979-10-13,Colorado Rockies,Toronto Maple Leafs,1,2,-1,1,0,1,0,,5,21,W,L,W 2-1 vs. Colorado Rockies,L 1-2 @ Toronto Maple Leafs,0
1980,1979-10-13,Boston Bruins,Washington Capitals,5,2,3,-3,1,0,0,,5,22,L,W,L 2-5 vs. Boston Bruins,W 5-2 @ Washington Capitals,0
1980,1979-10-14,Colorado Rockies,Winnipeg Jets,2,4,-2,2,0,1,0,,6,23,W,L,W 4-2 vs. Colorado Rockies,L 2-4 @ Winnipeg Jets,0
1980,1979-10-14,Toronto Maple Leafs,Philadelphia Flyers,3,4,-1,1,0,1,0,,6,24,W,L,W 4-3 vs. Toronto Maple Leafs,L 3-4 @ Philadelphia Flyers,0
1980,1979-10-14,Washington Capitals,New York Rangers,5,3,2,-2,1,0,0,,6,25,L,W,L 3-5 vs. Washington Capitals,W 5-3 @ New York Rangers,0
1980,1979-10-14,Hartford Whalers,Chicago Blackhawks,3,3,0,0,0,0,1,,6,26,T,T,T 3-3 vs. Hartford Whalers,T 3-3 @ Chicago Blackhawks,0
1980,1979-10-14,Minnesota North Stars,Buffalo Sabres,5,4,1,-1,1,0,0,,6,27,L,W,L 4-5 vs. Minnesota North Stars,W 5-4 @ Buffalo Sabres,0
1980,1979-10-14,Pittsburgh Penguins,Boston Bruins,4,1,3,-3,1,0,0,,6,28,L,W,L 1-4 vs. Pittsburgh Penguins,W 4-1 @ Boston Bruins,0
1980,1979-10-14,Vancouver Canucks,Edmonton Oilers,4,4,0,0,0,0,1,,6,29,T,T,T 4-4 vs. Vancouver Canucks,T 4-4 @ Edmonton Oilers,0
1980,1979-10-16,Atlanta Flames,New York Islanders,1,5,-4,4,0,1,0,,7,30,W,L,W 5-1 vs. Atlanta Flames,L 1-5 @ New York Islanders,0
1980,1979-10-16,Los Angeles Kings,Washington Capitals,6,8,-2,2,0,1,0,,7,31,W,L,W 8-6 vs. Los Angeles Kings,L 6-8 @ Washington Capitals,0
1980,1979-10-17,Minnesota North Stars,Toronto Maple Leafs,2,6,-4,4,0,1,0,,8,32,W,L,W 6-2 vs. Minnesota North Stars,L 2-6 @ Toronto Maple Leafs,0
1980,1979-10-17,Hartford Whalers,Buffalo Sabres,1,3,-2,2,0,1,0,,8,33,W,L,W 3-1 vs. Hartford Whalers,L 1-3 @ Buffalo Sabres,0
1980,1979-10-17,Montreal Canadiens,Chicago Blackhawks,2,3,-1,1,0,1,0,,8,34,W,L,W 3-2 vs. Montreal Canadiens,L 2-3 @ Chicago Blackhawks,0
1980,1979-10-17,Los Angeles Kings,Pittsburgh Penguins,5,4,1,-1,1,0,0,,8,35,L,W,L 4-5 vs. Los Angeles Kings,W 5-4 @ Pittsburgh Penguins,0
1980,1979-10-17,Vancouver Canucks,St. Louis Blues,5,1,4,-4,1,0,0,,8,36,L,W,L 1-5 vs. Vancouver Canucks,W 5-1 @ St. Louis Blues,0
1980,1979-10-17,Detroit Red Wings,Winnipeg Jets,5,1,4,-4,1,0,0,,8,37,L,W,L 1-5 vs. Detroit Red Wings,W 5-1 @ Winnipeg Jets,0
1980,1979-10-18,Atlanta Flames,Philadelphia Flyers,2,6,-4,4,0,1,0,,9,38,W,L,W 6-2 vs. Atlanta Flames,L 2-6 @ Philadelphia Flyers,0
1980,1979-10-18,Vancouver Canucks,New York Rangers,3,6,-3,3,0,1,0,,9,39,W,L,W 6-3 vs. Vancouver Canucks,L 3-6 @ New York Rangers,0
1980,1979-10-18,New York Islanders,Boston Bruins,2,3,-1,1,0,1,0,,9,40,W,L,W 3-2 vs. New York Islanders,L 2-3 @ Boston Bruins,0
1980,1979-10-18,Quebec Nordiques,Colorado Rockies,5,2,3,-3,1,0,0,,9,41,L,W,L 2-5 vs. Quebec Nordiques,W 5-2 @ Colorado Rockies,0
1980,1979-10-19,Toronto Maple Leafs,Washington Capitals,5,3,2,-2,1,0,0,,10,42,L,W,L 3-5 vs. Toronto Maple Leafs,W 5-3 @ Washington Capitals,0
1980,1979-10-19,Quebec Nordiques,Edmonton Oilers,3,6,-3,3,0,1,0,,10,43,W,L,W 6-3 vs. Quebec Nordiques,L 3-6 @ Edmonton Oilers,0
1980,1979-10-19,Los Angeles Kings,Hartford Whalers,3,6,-3,3,0,1,0,,10,44,W,L,W 6-3 vs. Los Angeles Kings,L 3-6 @ Hartford Whalers,0
1980,1979-10-19,Minnesota North Stars,Winnipeg Jets,2,3,-1,1,0,1,0,,10,45,W,L,W 3-2 vs. Minnesota North Stars,L 2-3 @ Winnipeg Jets,0
1980,1979-10-20,Washington Capitals,Pittsburgh Penguins,1,5,-4,4,0,1,0,,11,46,W,L,W 5-1 vs. Washington Capitals,L 1-5 @ Pittsburgh Penguins,0
1980,1979-10-20,Hartford Whalers,New York Islanders,1,6,-5,5,0,1,0,,11,47,W,L,W 6-1 vs. Hartford Whalers,L 1-6 @ New York Islanders,0
1980,1979-10-20,Vancouver Canucks,Toronto Maple Leafs,0,2,-2,2,0,1,0,,11,48,W,L,W 2-0 vs. Vancouver Canucks,L 0-2 @ Toronto Maple Leafs,0
1980,1979-10-20,New York Rangers,Montreal Canadiens,4,5,-1,1,0,1,0,,11,49,W,L,W 5-4 vs. New York Rangers,L 4-5 @ Montreal Canadiens,0
1980,1979-10-20,Buffalo Sabres,St. Louis Blues,2,3,-1,1,0,1,0,,11,50,W,L,W 3-2 vs. Buffalo Sabres,L 2-3 @ St. Louis Blues,0
1980,1979-10-20,Winnipeg Jets,Colorado Rockies,1,4,-3,3,0,1,0,,11,51,W,L,W 4-1 vs. Winnipeg Jets,L 1-4 @ Colorado Rockies,0
1980,1979-10-20,Los Angeles Kings,Boston Bruins,4,5,-1,1,0,1,0,,11,52,W,L,W 5-4 vs. Los Angeles Kings,L 4-5 @ Boston Bruins,0
1980,1979-10-20,Philadelphia Flyers,Detroit Red Wings,7,3,4,-4,1,0,0,,11,53,L,W,L 3-7 vs. Philadelphia Flyers,W 7-3 @ Detroit Red Wings,0
1980,1979-10-20,Chicago Blackhawks,Atlanta Flames,2,2,0,0,0,0,1,,11,54,T,T,T 2-2 vs. Chicago Blackhawks,T 2-2 @ Atlanta Flames,0
1980,1979-10-21,Vancouver Canucks,Buffalo Sabres,3,3,0,0,0,0,1,,12,55,T,T,T 3-3 vs. Vancouver Canucks,T 3-3 @ Buffalo Sabres,0
1980,1979-10-21,Quebec Nordiques,Chicago Blackhawks,3,0,3,-3,1,0,0,,12,56,L,W,L 0-3 vs. Quebec Nordiques,W 3-0 @ Chicago Blackhawks,0
1980,1979-10-21,Minnesota North Stars,Edmonton Oilers,5,5,0,0,0,0,1,,12,57,T,T,T 5-5 vs. Minnesota North Stars,T 5-5 @ Edmonton Oilers,0
1980,1979-10-21,Pittsburgh Penguins,New York Rangers,3,6,-3,3,0,1,0,,12,58,W,L,W 6-3 vs. Pittsburgh Penguins,L 3-6 @ New York Rangers,0
1980,1979-10-21,Montreal Canadiens,Philadelphia Flyers,6,6,0,0,0,0,1,,12,59,T,T,T 6-6 vs. Montreal Canadiens,T 6-6 @ Philadelphia Flyers,0
1980,1979-10-23,Montreal Canadiens,Atlanta Flames,5,3,2,-2,1,0,0,,13,60,L,W,L 3-5 vs. Montreal Canadiens,W 5-3 @ Atlanta Flames,0
1980,1979-10-23,Los Angeles Kings,Colorado Rockies,7,4,3,-3,1,0,0,,13,61,L,W,L 4-7 vs. Los Angeles Kings,W 7-4 @ Colorado Rockies,0
1980,1979-10-23,Edmonton Oilers,New York Islanders,3,3,0,0,0,0,1,,13,62,T,T,T 3-3 vs. Edmonton Oilers,T 3-3 @ New York Islanders,0
1980,1979-10-23,Boston Bruins,St. Louis Blues,5,5,0,0,0,0,1,,13,63,T,T,T 5-5 vs. Boston Bruins,T 5-5 @ St. Louis Blues,0
1980,1979-10-24,Toronto Maple Leafs,Vancouver Canucks,1,5,-4,4,0,1,0,,14,64,W,L,W 5-1 vs. Toronto Maple Leafs,L 1-5 @ Vancouver Canucks,0
1980,1979-10-24,Hartford Whalers,Quebec Nordiques,2,2,0,0,0,0,1,,14,65,T,T,T 2-2 vs. Hartford Whalers,T 2-2 @ Quebec Nordiques,0
1980,1979-10-24,Edmonton Oilers,New York Rangers,2,10,-8,8,0,1,0,,14,66,W,L,W 10-2 vs. Edmonton Oilers,L 2-10 @ New York Rangers,0
1980,1979-10-24,Winnipeg Jets,Chicago Blackhawks,0,4,-4,4,0,1,0,,14,67,W,L,W 4-0 vs. Winnipeg Jets,L 0-4 @ Chicago Blackhawks,0
1980,1979-10-24,Washington Capitals,Los Angeles Kings,3,5,-2,2,0,1,0,,14,68,W,L,W 5-3 vs. Washington Capitals,L 3-5 @ Los Angeles Kings,0
1980,1979-10-24,Pittsburgh Penguins,Buffalo Sabres,3,7,-4,4,0,1,0,,14,69,W,L,W 7-3 vs. Pittsburgh Penguins,L 3-7 @ Buffalo Sabres,0
1980,1979-10-24,St. Louis Blues,Minnesota North Stars,2,5,-3,3,0,1,0,,14,70,W,L,W 5-2 vs. St. Louis Blues,L 2-5 @ Minnesota North Stars,0
1980,1979-10-25,Buffalo Sabres,Detroit Red Wings,0,4,-4,4,0,1,0,,15,71,W,L,W 4-0 vs. Buffalo Sabres,L 0-4 @ Detroit Red Wings,0
1980,1979-10-25,Pittsburgh Penguins,Montreal Canadiens,5,8,-3,3,0,1,0,,15,72,W,L,W 8-5 vs. Pittsburgh Penguins,L 5-8 @ Montreal Canadiens,0
1980,1979-10-25,New York Rangers,Philadelphia Flyers,2,5,-3,3,0,1,0,,15,73,W,L,W 5-2 vs. New York Rangers,L 2-5 @ Philadelphia Flyers,0
1980,1979-10-26,Edmonton Oilers,Atlanta Flames,3,7,-4,4,0,1,0,,16,74,W,L,W 7-3 vs. Edmonton Oilers,L 3-7 @ Atlanta Flames,0
1980,1979-10-26,Toronto Maple Leafs,Colorado Rockies,2,2,0,0,0,0,1,,16,75,T,T,T 2-2 vs. Toronto Maple Leafs,T 2-2 @ Colorado Rockies,0
1980,1979-10-26,New York Islanders,Hartford Whalers,2,1,1,-1,1,0,0,,16,76,L,W,L 1-2 vs. New York Islanders,W 2-1 @ Hartford Whalers,0
1980,1979-10-26,Boston Bruins,Winnipeg Jets,2,3,-1,1,0,1,0,,16,77,W,L,W 3-2 vs. Boston Bruins,L 2-3 @ Winnipeg Jets,0
1980,1979-10-27,Atlanta Flames,St. Louis Blues,3,0,3,-3,1,0,0,,17,78,L,W,L 0-3 vs. Atlanta Flames,W 3-0 @ St. Louis Blues,0
1980,1979-10-27,Washington Capitals,Vancouver Canucks,3,5,-2,2,0,1,0,,17,79,W,L,W 5-3 vs. Washington Capitals,L 3-5 @ Vancouver Canucks,0
1980,1979-10-27,Buffalo Sabres,Quebec Nordiques,3,0,3,-3,1,0,0,,17,80,L,W,L 0-3 vs. Buffalo Sabres,W 3-0 @ Quebec Nordiques,0
1980,1979-10-27,Toronto Maple Leafs,Los Angeles Kings,5,7,-2,2,0,1,0,,17,81,W,L,W 7-5 vs. Toronto Maple Leafs,L 5-7 @ Los Angeles Kings,0
1980,1979-10-27,Detroit Red Wings,Montreal Canadiens,2,3,-1,1,0,1,0,,17,82,W,L,W 3-2 vs. Detroit Red Wings,L 2-3 @ Montreal Canadiens,0
1980,1979-10-27,New York Rangers,Minnesota North Stars,2,7,-5,5,0,1,0,,17,83,W,L,W 7-2 vs. New York Rangers,L 2-7 @ Minnesota North Stars,0
1980,1979-10-27,Chicago Blackhawks,New York Islanders,4,6,-2,2,0,1,0,,17,84,W,L,W 6-4 vs. Chicago Blackhawks,L 4-6 @ New York Islanders,0
1980,1979-10-28,Colorado Rockies,Buffalo Sabres,2,4,-2,2,0,1,0,,18,85,W,L,W 4-2 vs. Colorado Rockies,L 2-4 @ Buffalo Sabres,0
1980,1979-10-28,Boston Bruins,Chicago Blackhawks,4,1,3,-3,1,0,0,,18,86,L,W,L 1-4 vs. Boston Bruins,W 4-1 @ Chicago Blackhawks,0
1980,1979-10-28,Washington Capitals,Edmonton Oilers,6,4,2,-2,1,0,0,,18,87,L,W,L 4-6 vs. Washington Capitals,W 6-4 @ Edmonton Oilers,0
1980,1979-10-28,Hartford Whalers,New York Rangers,2,2,0,0,0,0,1,,18,88,T,T,T 2-2 vs. Hartford Whalers,T 2-2 @ New York Rangers,0
1980,1979-10-28,Detroit Red Wings,Philadelphia Flyers,4,5,-1,1,0,1,0,,18,89,W,L,W 5-4 vs. Detroit Red Wings,L 4-5 @ Philadelphia Flyers,0
1980,1979-10-28,Montreal Canadiens,Quebec Nordiques,4,5,-1,1,0,1,0,,18,90,W,L,W 5-4 vs. Montreal Canadiens,L 4-5 @ Quebec Nordiques,0
1980,1979-10-28,St. Louis Blues,Winnipeg Jets,2,2,0,0,0,0,1,,18,91,T,T,T 2-2 vs. St. Louis Blues,T 2-2 @ Winnipeg Jets,0
1980,1979-10-30,Montreal Canadiens,Washington Capitals,2,2,0,0,0,0,1,,19,92,T,T,T 2-2 vs. Montreal Canadiens,T 2-2 @ Washington Capitals,0
1980,1979-10-30,Edmonton Oilers,St. Louis Blues,1,2,-1,1,0,1,0,,19,93,W,L,W 2-1 vs. Edmonton Oilers,L 1-2 @ St. Louis Blues,0
1980,1979-10-30,Colorado Rockies,Atlanta Flames,1,3,-2,2,0,1,0,,19,94,W,L,W 3-1 vs. Colorado Rockies,L 1-3 @ Atlanta Flames,0
1980,1979-10-30,Boston Bruins,Los Angeles Kings,4,4,0,0,0,0,1,,19,95,T,T,T 4-4 vs. Boston Bruins,T 4-4 @ Los Angeles Kings,0
1980,1979-10-31,Buffalo Sabres,Chicago Blackhawks,0,0,0,0,0,0,1,,20,96,T,T,T 0-0 vs. Buffalo Sabres,T 0-0 @ Chicago Blackhawks,0
1980,1979-10-31,Minnesota North Stars,Detroit Red Wings,5,3,2,-2,1,0,0,,20,97,L,W,L 3-5 vs. Minnesota North Stars,W 5-3 @ Detroit Red Wings,0
1980,1979-10-31,Colorado Rockies,Pittsburgh Penguins,2,4,-2,2,0,1,0,,20,98,W,L,W 4-2 vs. Colorado Rockies,L 2-4 @ Pittsburgh Penguins,0
1980,1979-10-31,Winnipeg Jets,Quebec Nordiques,5,2,3,-3,1,0,0,,20,99,L,W,L 2-5 vs. Winnipeg Jets,W 5-2 @ Quebec Nordiques,0
1980,1979-10-31,Hartford Whalers,Toronto Maple Leafs,4,2,2,-2,1,0,0,,20,100,L,W,L 2-4 vs. Hartford Whalers,W 4-2 @ Toronto Maple Leafs,0
1980,1979-10-31,New York Islanders,Vancouver Canucks,2,2,0,0,0,0,1,,20,101,T,T,T 2-2 vs. New York Islanders,T 2-2 @ Vancouver Canucks,0
1980,1979-11-01,New York Rangers,Los Angeles Kings,2,4,-2,2,0,1,0,,21,102,W,L,W 4-2 vs. New York Rangers,L 2-4 @ Los Angeles Kings,0
1980,1979-11-01,Minnesota North Stars,Montreal Canadiens,1,5,-4,4,0,1,0,,21,103,W,L,W 5-1 vs. Minnesota North Stars,L 1-5 @ Montreal Canadiens,0
1980,1979-11-01,St. Louis Blues,Philadelphia Flyers,1,3,-2,2,0,1,0,,21,104,W,L,W 3-1 vs. St. Louis Blues,L 1-3 @ Philadelphia Flyers,0
1980,1979-11-02,Washington Capitals,Winnipeg Jets,1,1,0,0,0,0,1,,22,105,T,T,T 1-1 vs. Washington Capitals,T 1-1 @ Winnipeg Jets,0
1980,1979-11-02,Boston Bruins,Vancouver Canucks,3,3,0,0,0,0,1,,22,106,T,T,T 3-3 vs. Boston Bruins,T 3-3 @ Vancouver Canucks,0
1980,1979-11-02,Quebec Nordiques,Atlanta Flames,4,4,0,0,0,0,1,,22,107,T,T,T 4-4 vs. Quebec Nordiques,T 4-4 @ Atlanta Flames,0
1980,1979-11-02,New York Islanders,Edmonton Oilers,5,7,-2,2,0,1,0,,22,108,W,L,W 7-5 vs. New York Islanders,L 5-7 @ Edmonton Oilers,0
1980,1979-11-02,Toronto Maple Leafs,Hartford Whalers,3,5,-2,2,0,1,0,,22,109,W,L,W 5-3 vs. Toronto Maple Leafs,L 3-5 @ Hartford Whalers,0
1980,1979-11-03,New York Rangers,Colorado Rockies,2,7,-5,5,0,1,0,,23,110,W,L,W 7-2 vs. New York Rangers,L 2-7 @ Colorado Rockies,0
1980,1979-11-03,Chicago Blackhawks,Detroit Red Wings,0,2,-2,2,0,1,0,,23,111,W,L,W 2-0 vs. Chicago Blackhawks,L 0-2 @ Detroit Red Wings,0
1980,1979-11-03,Washington Capitals,Minnesota North Stars,1,7,-6,6,0,1,0,,23,112,W,L,W 7-1 vs. Washington Capitals,L 1-7 @ Minnesota North Stars,0
