season,team,conferenceName,divisionName,points,gamesPlayed,wins,losses,otLosses,ties,regulationWins,regulationPlusOtWins,goalFor,goalAgainst,leagueSequence,conferenceSequence,divisionSequence,wildcardSequence
1980,Philadelphia Flyers,Clarence Campbell,Patrick,116,80,48,12,0,20,48,48,327,254,1,1,1,0
1980,Buffalo Sabres,Prince of Wales,Adams,110,80,47,17,0,16,47,47,318,201,2,1,1,0
1980,Montreal Canadiens,Prince of Wales,Norris,107,80,47,20,0,13,47,47,328,240,3,2,1,0
1980,Boston Bruins,Prince of Wales,Adams,105,80,46,21,0,13,46,46,310,234,4,3,2,0
1980,New York Islanders,Clarence Campbell,Patrick,91,80,39,28,0,13,39,39,281,247,5,2,2,0
1980,Minnesota North Stars,Prince of Wales,Adams,88,80,36,28,0,16,36,36,311,253,6,4,3,0
1980,Chicago Blackhawks,Clarence Campbell,Smythe,87,80,34,27,0,19,34,34,241,250,7,3,1,0
1980,New York Rangers,Clarence Campbell,Patrick,86,80,38,32,0,10,38,38,308,284,8,4,3,0
1980,Atlanta Flames,Clarence Campbell,Patrick,83,80,35,32,0,13,35,35,282,269,9,5,4,0
1980,St. Louis Blues,Clarence Campbell,Smythe,80,80,34,34,0,12,34,34,266,278,10,6,2,0
1980,Toronto Maple Leafs,Prince of Wales,Adams,75,80,35,40,0,5,35,35,304,327,11,5,4,0
1980,Los Angeles Kings,Prince of Wales,Norris,74,80,30,36,0,14,30,30,290,313,12,6,2,0
1980,Pittsburgh Penguins,Prince of Wales,Norris,73,80,30,37,0,13,30,30,251,303,13,7,3,0
1980,Hartford Whalers,Prince of Wales,Norris,73,80,27,34,0,19,27,27,303,312,14,8,4,0
1980,Vancouver Canucks,Clarence Campbell,Smythe,70,80,27,37,0,16,27,27,256,281,15,7,3,0
1980,Edmonton Oilers,Clarence Campbell,Smythe,69,80,28,39,0,13,28,28,301,322,16,8,4,0
1980,Washington Capitals,Clarence Campbell,Patrick,67,80,27,40,0,13,27,27,261,293,17,9,5,0
1980,Detroit Red Wings,Prince of Wales,Norris,63,80,26,43,0,11,26,26,268,306,18,9,5,0
1980,Quebec Nordiques,Prince of Wales,Adams,61,80,25,44,0,11,25,25,248,313,19,10,5,0
1980,Winnipeg Jets,Clarence Campbell,Smythe,51,80,20,49,0,11,20,20,214,314,20,10,5,0
1980,Colorado Rockies,Clarence Campbell,Smythe,51,80,19,48,0,13,19,19,234,308,21,11,6,0
1981,New York Islanders,Clarence Campbell,Patrick,110,80,48,18,0,14,48,48,355,260,1,1,1,0
1981,St. Louis Blues,Clarence Campbell,Smythe,107,80,45,18,0,17,45,45,352,281,2,2,1,0
1981,Montreal Canadiens,Prince of Wales,Norris,103,80,45,22,0,13,45,45,332,232,3,1,1,0
1981,Los Angeles Kings,Prince of Wales,Norris,99,80,43,24,0,13,43,43,337,290,4,3,2,0
1981,Buffalo Sabres,Prince of Wales,Adams,99,80,39,20,0,21,39,39,327,250,5,2,1,0
1981,Philadelphia Flyers,Clarence Campbell,Patrick,97,80,41,24,0,15,41,41,313,249,6,3,2,0
1981,Calgary Flames,Clarence Campbell,Patrick,92,80,39,27,0,14,39,39,329,298,7,4,3,0
